Year,Simulation,Pathway,total_CO2_tons
2034,1204,D,0
2035,1204,D,0
2036,1204,D,0
2037,1204,D,0
2038,1204,D,0
2039,1204,D,0
2040,1204,D,0
2041,1204,D,0
2042,1204,D,0
2043,1204,D,0
2044,1204,D,0
2045,1204,D,0
2046,1204,D,0
2047,1204,D,0
2048,1204,D,0
2049,1204,D,0
2050,1204,D,0
2025,1205,A,0
2026,1205,A,0
2027,1205,A,0
2028,1205,A,0
2029,1205,A,0
2030,1205,A,0
2031,1205,A,0
2032,1205,A,0
2033,1205,A,0
2034,1205,A,0
2035,1205,A,0
2036,1205,A,0
2037,1205,A,0
2038,1205,A,0
2039,1205,A,0
2040,1205,A,0
2041,1205,A,0
2042,1205,A,0
2043,1205,A,0
2044,1205,A,0
2045,1205,A,0
2046,1205,A,0
2047,1205,A,0
2048,1205,A,0
2049,1205,A,0
2050,1205,A,0
2025,1205,B1,0
2026,1205,B1,0
2027,1205,B1,0
2028,1205,B1,0
2029,1205,B1,0
2030,1205,B1,0
2031,1205,B1,0
2032,1205,B1,0
2033,1205,B1,0
2034,1205,B1,0
2035,1205,B1,0
2036,1205,B1,0
2037,1205,B1,0
2038,1205,B1,0
2039,1205,B1,0
2040,1205,B1,0
2041,1205,B1,0
2042,1205,B1,0
2043,1205,B1,0
2044,1205,B1,0
2045,1205,B1,0
2046,1205,B1,0
2047,1205,B1,0
2048,1205,B1,0
2049,1205,B1,0
2050,1205,B1,0
2025,1205,B2,0
2026,1205,B2,0
2027,1205,B2,0
2028,1205,B2,0
2029,1205,B2,0
2030,1205,B2,0
2031,1205,B2,0
2032,1205,B2,0
2033,1205,B2,0
2034,1205,B2,0
2035,1205,B2,0
2036,1205,B2,0
2037,1205,B2,0
2038,1205,B2,0
2039,1205,B2,0
2040,1205,B2,0
2041,1205,B2,0
2042,1205,B2,0
2043,1205,B2,0
2044,1205,B2,0
2045,1205,B2,0
2046,1205,B2,0
2047,1205,B2,0
2048,1205,B2,0
2049,1205,B2,0
2050,1205,B2,0
2025,1205,B3,0
2026,1205,B3,0
2027,1205,B3,0
2028,1205,B3,0
2029,1205,B3,0
2030,1205,B3,0
2031,1205,B3,0
2032,1205,B3,0
2033,1205,B3,0
2034,1205,B3,0
2035,1205,B3,0
2036,1205,B3,0
2037,1205,B3,0
2038,1205,B3,0
2039,1205,B3,0
2040,1205,B3,0
2041,1205,B3,0
2042,1205,B3,0
2043,1205,B3,0
2044,1205,B3,0
2045,1205,B3,0
2046,1205,B3,0
2047,1205,B3,0
2048,1205,B3,0
2049,1205,B3,0
2050,1205,B3,0
2025,1205,C1,0
2026,1205,C1,0
2027,1205,C1,0
2028,1205,C1,0
2029,1205,C1,0
2030,1205,C1,0
2031,1205,C1,0
2032,1205,C1,0
2033,1205,C1,0
2034,1205,C1,0
2035,1205,C1,0
2036,1205,C1,0
2037,1205,C1,0
2038,1205,C1,0
2039,1205,C1,0
2040,1205,C1,0
2041,1205,C1,0
2042,1205,C1,0
2043,1205,C1,0
2044,1205,C1,0
2045,1205,C1,0
2046,1205,C1,0
2047,1205,C1,0
2048,1205,C1,0
2049,1205,C1,0
2050,1205,C1,0
2025,1205,C2,0
2026,1205,C2,0
2027,1205,C2,0
2028,1205,C2,0
2029,1205,C2,0
2030,1205,C2,0
2031,1205,C2,0
2032,1205,C2,0
2033,1205,C2,0
2034,1205,C2,0
2035,1205,C2,0
2036,1205,C2,0
2037,1205,C2,0
2038,1205,C2,0
2039,1205,C2,0
2040,1205,C2,0
2041,1205,C2,0
2042,1205,C2,0
2043,1205,C2,0
2044,1205,C2,0
